[00:00:03] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-82, y=100, z=-492} gt{x=-81, y=100, z=-492}
[00:00:03] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-82, y=100, z=-492} gt{x=-81, y=100, z=-492}
[00:00:03] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-82, y=100, z=-492} gt{x=-81, y=100, z=-492}
[00:00:03] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-82, y=100, z=-492} gt{x=-81, y=100, z=-492}
[00:00:03] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-82, y=100, z=-492} gt{x=-81, y=100, z=-492}
[00:00:04] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-82, y=100, z=-492} gt{x=-81, y=100, z=-492}
[00:00:04] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-82, y=100, z=-492} gt{x=-81, y=100, z=-492}
[00:00:04] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-82, y=100, z=-492} gt{x=-81, y=100, z=-492}
[00:00:04] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-82, y=100, z=-492} gt{x=-81, y=100, z=-492}
[00:00:04] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-82, y=100, z=-492} gt{x=-81, y=100, z=-492}
[00:00:04] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-82, y=100, z=-492} gt{x=-81, y=100, z=-492}
[00:00:04] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-82, y=100, z=-492} gt{x=-81, y=100, z=-492}
[00:00:04] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-82, y=100, z=-492} gt{x=-81, y=100, z=-492}
[00:00:04] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-82, y=100, z=-492} gt{x=-81, y=100, z=-492}
[00:02:16] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-102, y=94, z=-513} gt{x=-100, y=94, z=-510}
[00:02:17] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-102, y=94, z=-513} gt{x=-100, y=94, z=-510}
[00:02:17] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-102, y=94, z=-513} gt{x=-100, y=94, z=-510}
[00:04:37] [Server thread/INFO]: CHAN4869 has made the advancement [Fishy Business]
[00:05:01] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-86, y=91, z=-519} gt{x=-85, y=91, z=-519}
[00:05:01] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-86, y=91, z=-519} gt{x=-85, y=91, z=-519}
[00:05:02] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-86, y=91, z=-519} gt{x=-85, y=91, z=-519}
[00:05:02] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-86, y=91, z=-519} gt{x=-85, y=91, z=-519}
[00:05:02] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-86, y=91, z=-519} gt{x=-85, y=91, z=-519}
[00:05:02] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-86, y=91, z=-519} gt{x=-85, y=91, z=-519}
[00:05:14] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-100, y=92, z=-516} gt{x=-100, y=91, z=-516}
[00:05:14] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-100, y=92, z=-516} gt{x=-100, y=91, z=-516}
[00:05:14] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-100, y=92, z=-516} gt{x=-100, y=91, z=-516}
[00:05:14] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-100, y=92, z=-516} gt{x=-100, y=91, z=-516}
[00:05:14] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-100, y=92, z=-516} gt{x=-100, y=91, z=-516}
