[09:51:26] [ServerMain/INFO]: Building unoptimized datafixer
[09:51:27] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[09:51:28] [ServerMain/INFO]: Loaded 7 recipes
[09:51:29] [ServerMain/INFO]: Loaded 1179 advancements
[09:51:29] [Server thread/INFO]: Starting minecraft server version 1.19
[09:51:29] [Server thread/INFO]: Loading properties
[09:51:29] [Server thread/INFO]: Default game type: SURVIVAL
[09:51:29] [Server thread/INFO]: Generating keypair
[09:51:30] [Server thread/INFO]: Starting Minecraft server on *:25565
[09:51:30] [Server thread/INFO]: Using default channel type
[09:51:30] [Server thread/INFO]: Preparing level "world"
[09:51:30] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[09:51:33] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:51:33] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:51:33] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[09:51:33] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[09:51:33] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[09:51:33] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[09:51:33] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[09:51:34] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[09:51:34] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[09:51:35] [Worker-Main-5/INFO]: Preparing spawn area: 37%
[09:51:35] [Server thread/INFO]: Time elapsed: 4919 ms
[09:51:35] [Server thread/INFO]: Done (5.140s)! For help, type "help"
[09:52:08] [User Authenticator #1/INFO]: UUID of player tenpensizimi is 933aff28-38d0-4ddc-b68d-b8d215ad8a9a
[09:52:09] [Server thread/INFO]: tenpensizimi[/25.32.157.190:64514] logged in with entity id 26 at (321.498245546197, 64.0, 1343.6879575462358)
[09:52:09] [Server thread/INFO]: tenpensizimi joined the game
[09:52:16] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 7386ms or 147 ticks behind
[10:03:14] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=365, y=78, z=1279} gt{x=366, y=78, z=1279}
[10:03:14] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=365, y=78, z=1279} gt{x=366, y=78, z=1279}
[10:03:14] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=365, y=78, z=1279} gt{x=366, y=78, z=1279}
[10:03:14] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=365, y=78, z=1279} gt{x=366, y=78, z=1279}
[10:03:14] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=365, y=78, z=1279} gt{x=366, y=78, z=1279}
[10:03:14] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=365, y=78, z=1279} gt{x=366, y=78, z=1279}
[10:03:14] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=365, y=78, z=1279} gt{x=366, y=78, z=1279}
[10:03:14] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=365, y=78, z=1279} gt{x=366, y=78, z=1279}
[10:04:43] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=364, y=77, z=1283} gt{x=364, y=76, z=1282}
[10:04:43] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=364, y=77, z=1283} gt{x=364, y=76, z=1282}
[10:04:44] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=364, y=77, z=1283} gt{x=364, y=76, z=1282}
[10:15:41] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=406, y=79, z=1335} gt{x=405, y=78, z=1336}
[10:15:41] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=406, y=79, z=1335} gt{x=405, y=78, z=1336}
[10:21:10] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=422, y=82, z=1326} gt{x=423, y=82, z=1326}
[10:21:10] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=422, y=82, z=1326} gt{x=423, y=82, z=1326}
[10:21:10] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=422, y=82, z=1326} gt{x=423, y=82, z=1326}
[10:21:10] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=422, y=82, z=1326} gt{x=423, y=82, z=1326}
[10:21:10] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=422, y=82, z=1326} gt{x=423, y=82, z=1326}
[10:26:07] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=404, y=79, z=1317} gt{x=406, y=79, z=1327}
